Customer ID,Demand Value
1,458287
2,379701
3,1192903
4,448957
5,817193
6,516212
7,351212
8,1141567
9,472186
10,1363141
11,368271
12,606043
13,1083983
14,605426
15,2813245
16,599402
17,2323490
18,730188
19,1000831
20,500792
21,520199
22,464916
23,3917204
24,391521
25,4757368
26,355037
27,374588
28,2195151
29,673737
30,1071836
31,464914
32,414683
33,405576
34,314933
35,811598
36,14170
37,702802
38,1265124
39,267242
40,3097347
41,741605
42,1203454
43,257460
44,680177
45,1384575
46,253323
47,1920846
48,3405339
49,254512
50,1447370
51,778737
52,491221
53,753745
54,257160
55,802403
56,1035805
57,1264768
58,557565
59,253134
60,718104
61,320049
62,252970
63,561974
64,631850
65,481402
66,547871
67,476703
68,2228535
69,2227937
70,449049
71,311728
72,519002
73,275344
74,311278
75,588094
76,253448
77,1929557
78,484961
79,585908
80,321042
81,18576
82,1105391
83,257485
84,734039
85,1449972
86,262644
87,742723
88,468416
89,277957
90,791427
91,608672
92,516955
93,1391054
94,437622
95,292765
96,555686
97,663707
98,359317
99,271695
100,700538
101,2156849
102,3389828
103,795281
104,669054
105,542253
106,736240
107,685122
108,457574
109,7923530
110,889978
111,371596
112,387764
113,823245
114,1736114
115,833239
116,924737
117,340236
118,266055
119,1586793
120,1586793
121,494772
122,16348947
123,412553
124,1493452
125,762371
126,531398
127,674835
128,570044
129,693616
130,3559349
131,1370396
132,606906
133,2415478
134,565146
135,565146
136,426017
137,649152
138,455710
139,252734
140,353705
141,1606518
142,933760
143,2809501
144,614932
145,597322
146,1627819
147,3649387
148,350640
149,270095
150,324728
151,1628533
152,422040
153,885362
154,4343546
155,513241
156,1243036
157,271835
158,636548
159,4587818
160,468606
161,1309560
162,668990
163,1118112
164,604899
165,748789
166,765485
167,490649
168,743854
169,2031326
170,473281
171,557220
172,1336626
173,631085
174,445158
175,433675
176,541986
177,360540
178,811224
179,483391
180,492741
181,272961
182,623451
183,282156
184,696334
185,524068
186,674380
187,857555
188,683716
189,729140
190,405243
191,2014810
192,635213
193,355546
194,420571
195,554443
196,315210
197,532585
198,703888
199,684157
200,554597
